spid,mbid,wdid
6PpSHb4MGGPtHSFDo7tM2u,,http://www.wikidata.org/entity/Q42315353
2SyaKvCdG9HOn7D7H6otJR,1c883b6d-a4d7-4e36-afa5-f35ae8615a72,http://www.wikidata.org/entity/Q42318307
27ojxapXfPZ6YmVfwuMTc0,bdc844b7-9135-3274-b17d-1dc2cad5e5ae,http://www.wikidata.org/entity/Q1393756
3EGJwabnAa4JigqwgSxNhK,ade94386-3920-46df-ab05-47f2e1b092a7,http://www.wikidata.org/entity/Q28053877
6pGR8YKKqRltbqmvwvCeLv,f4d897d6-926b-4ed5-9e47-b8b2ab234b6c,http://www.wikidata.org/entity/Q49473761
4bk8RoxJCbUql8FDsQiai4,e6b14111-f7fb-4b9e-a674-6e99615e6d67,http://www.wikidata.org/entity/Q42579617
4a9Jd7Rm7oL26yCjL6GQjp,,http://www.wikidata.org/entity/Q244673
5DhBKvTfY80n9xdC36yYCX,bd23b5fd-7215-4235-a79e-e217169e8264,http://www.wikidata.org/entity/Q28766563
0QcGjmYjuZn4JpvJnMMXhN,,http://www.wikidata.org/entity/Q4725295
4Z65vZZR8Ec3RQv9qiyqdC,,http://www.wikidata.org/entity/Q18674645
6nYZskSEVxpFZ0y0N4j7N5,,http://www.wikidata.org/entity/Q19364160
7ELjnD751ignjlUob1glnn,,http://www.wikidata.org/entity/Q19708571
2ghAZ12iARjlWdC3l7OtUt,,http://www.wikidata.org/entity/Q20064462
0fk2d0PA6TGEp36qyrRqb9,,http://www.wikidata.org/entity/Q20978578
5RkmnQd5xtR3vNiM7Hn12l,85806138-1036-4dac-9958-e2636ee8e6ef,http://www.wikidata.org/entity/Q20748497
2BHcZFHCFSMldcSp7guhTx,,http://www.wikidata.org/entity/Q21768308
7cXt3aYviqJBiQFcz9Ielu,,http://www.wikidata.org/entity/Q21768307
7sPiF664tkT9XuAOaAR25N,,http://www.wikidata.org/entity/Q21768307
1iQKy4kLMebELQO4P7TIWT,,http://www.wikidata.org/entity/Q21835166
1kCHru7uhxBUdzkm4gzRQc,,http://www.wikidata.org/entity/Q22678066
1TfzspRmvBkDuIPZEG4ZdF,caca87c4-0060-3cd8-a74c-376bf78f33d3,http://www.wikidata.org/entity/Q2816493
1J1mjhlth8XnU8ttfRKp5r,,http://www.wikidata.org/entity/Q23647108
7D7V6M05UIOTjLdqbwRX0w,,http://www.wikidata.org/entity/Q23926973
6wEWd7YQIs5a6AraHUMbjI,,http://www.wikidata.org/entity/Q24265614
0bwdznBmNAcxavX9df31qW,,http://www.wikidata.org/entity/Q26186794
0gqFfLtOVbxGFJkw0lOUKB,05277be9-8dc0-41b2-a019-32599d113820,http://www.wikidata.org/entity/Q25087782
51bVzshoaqQFZmdg1uWyNt,,http://www.wikidata.org/entity/Q26726279
3SbZTjTzV9h2sXSNftZkvx,,http://www.wikidata.org/entity/Q27092760
7EoeMpWh1y9ltxDX3iDWTd,,http://www.wikidata.org/entity/Q27161965
1WEaaZcLgG9tKSVGCJwj5u,,http://www.wikidata.org/entity/Q27162530
3bqVKkzhYrI1hFc6jkA6G2,,http://www.wikidata.org/entity/Q27231726
2R27I2bYbBwH1Rp5LTtiZA,,http://www.wikidata.org/entity/Q27659436
4WrNhPonpruczYC94QfoMy,,http://www.wikidata.org/entity/Q27865860
4DENZX3BQwGGnD6ddP1VVL,b1e317bc-5745-412c-aff1-381b94a076d2,http://www.wikidata.org/entity/Q20988120
4xUN5nnssE6AuIb6WgCeAl,,http://www.wikidata.org/entity/Q28842578
