spid,mbid,wdid
5BcbyYRgvvhfVGmCJSjHlT,17268036-f51c-427c-a8a2-241fac69d39f,http://www.wikidata.org/entity/Q193283
0bLEsDkfMxoNOv0CNjeFVw,c064740f-7943-4e4f-afea-74614caedafb,http://www.wikidata.org/entity/Q441445
0cTSCsVx04SSht9V6cpKN0,04f57a2d-2449-400e-8fff-5b1c5af9560b,http://www.wikidata.org/entity/Q441742
6cadOIa5DTh6a5mGo5r4bh,,http://www.wikidata.org/entity/Q47009204
4cJu4qS0f3B5pe3YY1Cgeo,,http://www.wikidata.org/entity/Q268695
6oHcUDxrvG0NhK6d2kp9GV,2a4e1a32-bf56-4696-8297-0d12b4abeff2,http://www.wikidata.org/entity/Q183451
69lxxQvsfAIoQbB20bEPFC,5ae54dee-4dba-49c0-802a-a3b3b3adfe9b,http://www.wikidata.org/entity/Q189729
3K2zB87GZv1krx031en5VA,88d1360a-bc2d-47df-90d1-d2de285560aa,http://www.wikidata.org/entity/Q200002
3Isy6kedDrgPYoTS1dazA9,c3da3346-2643-48a7-93cd-011f6834b3d7,http://www.wikidata.org/entity/Q200577
2mpeljBig2IXLXRAFO9AAs,d1353a0c-26fb-4318-a116-defde9c7c9ad,http://www.wikidata.org/entity/Q202550
4tpUmLEVLCGFr93o8hFFIB,4d2956d1-a3f7-44bb-9a41-67563e1a0c94,http://www.wikidata.org/entity/Q202741
01UzgUtDa2NqWuvUjrrl3p,a8dbf22f-9788-4cf6-a0df-c9244384f295,http://www.wikidata.org/entity/Q203514
7AcV1lk8Zrgo1691PDWEle,fc318255-d27e-4e85-bfe5-46657eaef734,http://www.wikidata.org/entity/Q203350
57b3sKD9pGilMb2QlMqArq,7bb40169-4789-4a48-bf66-605abd910dc3,http://www.wikidata.org/entity/Q203486
0QJIPDAEDILuo8AIq3pMuU,7cf0ea9d-86b9-4dad-ba9e-2355a64899ea,http://www.wikidata.org/entity/Q204019
6l3HvQ5sa6mXTsMTB19rO5,875203e1-8e58-4b86-8dcb-7190faf411c5,http://www.wikidata.org/entity/Q204018
73I7vbj7hzsw8rW4LUoxtz,1be1367d-119f-4b08-bdfe-50b95043e544,http://www.wikidata.org/entity/Q205139
2BGRfQgtzikz1pzAD0kaEn,8a338e06-d182-46f2-bd16-30a09bc840ba,http://www.wikidata.org/entity/Q206939
0OcclcP5o8VKH2TRqSY2A7,9b58672a-e68e-4972-956e-a8985a165a1f,http://www.wikidata.org/entity/Q207773
1XmMnFJ9jhW4tI7bQuNYFG,e29c77e6-3bc0-4bea-90ed-4caff60f6bc3,http://www.wikidata.org/entity/Q207789
