spid,mbid,wdid
5bPrEEDRqyj51AwEkOSsx6,,http://www.wikidata.org/entity/Q47171472
63Xi10QYXgErKumzoLVIsx,,http://www.wikidata.org/entity/Q47171486
1kGEppPpWyjtsY7Psgkigx,,http://www.wikidata.org/entity/Q42159066
3G1yQ2ma2cq63F0tKmnuJH,,http://www.wikidata.org/entity/Q42314085
41EjHzx3PnzwzcNE2E6wR9,,http://www.wikidata.org/entity/Q42316020
64vRkTgEAYvuKWuOVzlef1,,http://www.wikidata.org/entity/Q42316020
3GhRKiLRLQ9RnjZ5y6oAjg,,http://www.wikidata.org/entity/Q42684240
3MlpUVdVooZQHESrKRcKnZ,,http://www.wikidata.org/entity/Q42328228
4UoinQeMQnyvVX9kfKqyP6,,http://www.wikidata.org/entity/Q42328228
2sEq2rC3ynYsT49x7utWnd,23dd9672-107a-43b2-a324-9905461492f6,http://www.wikidata.org/entity/Q23763143
5M2y8QdDepGYMsWyxhoxQU,a4015e79-4709-3c67-a5d7-e3323bd968cd,http://www.wikidata.org/entity/Q10539076
5UcJVip0424WjZYfERHXDk,7adce675-6453-48aa-ae02-24e860bfbb8d,http://www.wikidata.org/entity/Q42899932
2J0WrP461aSrfD2l1gQYjW,66658317-7ae4-46d7-9cda-f946f751ebfe,http://www.wikidata.org/entity/Q3232840
3VWNJFSYsKVlqE0HUzIDBt,,http://www.wikidata.org/entity/Q2448684
0VoPcAvnsPTOJorsDBKTyL,,http://www.wikidata.org/entity/Q7322897
29nbdRby3DgHTub5LVponf,,http://www.wikidata.org/entity/Q7322897
2rPXQ9eoCh7oG1QpDA51Op,,http://www.wikidata.org/entity/Q5001161
5g5qKV1suESyZHVa8kyY6P,,http://www.wikidata.org/entity/Q6757096
7y4eKfQtightlSE8LReTB1,,http://www.wikidata.org/entity/Q6019255
4nz1v2ghmGRo3RTZKxaC3P,,http://www.wikidata.org/entity/Q5428447
69ymx6Ro17FE7fc6brZNSm,,http://www.wikidata.org/entity/Q10671246
5MEuFY2DxrozPEgGpR8Fji,,http://www.wikidata.org/entity/Q7944333
7mU6b6V8CJf1Y8iBkkpAyU,,http://www.wikidata.org/entity/Q10589084
4cWTn4gPCey0vGMTDR4K3N,fc106065-82c9-4162-a54f-ec2306fe8d4a,http://www.wikidata.org/entity/Q42895327
7eKjF44f7okByNXA0mqJLj,d0581608-8db9-4f2e-88aa-c5db767e5535,http://www.wikidata.org/entity/Q42895385
7tVWrMVK3CIg7Senwwr6Aw,,http://www.wikidata.org/entity/Q10518036
2Ira0uvYaGKUAQijygMmON,,http://www.wikidata.org/entity/Q21043101
74Vb1VFK5q6ABPhwN46L33,,http://www.wikidata.org/entity/Q23296365
1wGrR7MKoze7d1Ietfco3F,,http://www.wikidata.org/entity/Q24265452
4L5WINC4Ufg9GL8dJMH0uF,,http://www.wikidata.org/entity/Q22249483
3mMKEZ5PIilxSzMMiAm5VO,,http://www.wikidata.org/entity/Q26848919
6xiOhG85RasYka2y4CNMAU,,http://www.wikidata.org/entity/Q26878354
36GrIe8TlIyy66QPVvd4mg,,http://www.wikidata.org/entity/Q28733293
0UkO5kKwHPWG9K3Q4MJrCQ,,http://www.wikidata.org/entity/Q28830025
5HDLfQNN2AwAZWqzjDLxb5,,http://www.wikidata.org/entity/Q29147226
2habSXqcJGExM6JJyskY7O,,http://www.wikidata.org/entity/Q29871694
